Gene	L11.D8.Tox.KO1.Tim3p_S11	L13.D8.Tox.KO2.Tim3p_S13	L15.D8.Tox.KO3.Tim3p_S15	L17.D8.Tox.KO4.Tim3p_S2	L19.D8.Tox.KO5.Tim3p_S4	L1.D8.Tox.WT1.Tim3p_S1	L3.D8.Tox.WT2.Tim3p_S3	L5.D8.Tox.WT3.Tim3p_S5	L7.D8.Tox.WT4.Tim3p_S7	L9.D8.Tox.WT5.Tim3p_S9
0610005C13Rik	8	2	3	5	2	3	1	2	10	1
0610006L08Rik	0	0	0	0	0	0	0	0	0	0
0610009B22Rik	402	357	345	197	202	311	354	382	293	329
0610009E02Rik	5	3	6	0	1	3	5	6	3	2
0610009L18Rik	62	67	47	29	27	52	20	54	38	56
0610009O20Rik	138	172	173	112	126	201	176	156	124	169
0610010F05Rik	879	943	683	609	527	734	683	699	611	884
0610010K14Rik	30	42	31	15	5	33	18	19	13	45
0610012D04Rik	3	1	1	1	2	0	3	2	0	0
0610012G03Rik	884	958	928	514	328	578	664	1059	757	762
0610025J13Rik	0	0	0	0	0	0	0	0	0	0
0610030E20Rik	878	830	896	876	531	931	981	957	857	1069
0610031O16Rik	0	0	0	0	0	0	0	0	0	0
0610033M10Rik	0	0	0	0	0	0	0	0	0	0
0610037L13Rik	572	671	585	416	314	576	570	715	540	689
0610038B21Rik	8	3	19	7	6	10	8	10	10	4
0610039K10Rik	6	3	25	10	4	4	15	10	6	6
0610040B10Rik	56	73	42	39	18	36	28	24	27	49
0610040F04Rik	15	5	5	9	7	17	12	8	5	7
0610040J01Rik	42	45	40	49	3	10	23	82	67	55
0610043K17Rik	7	2	2	3	0	0	4	12	6	9
1010001B22Rik	3	5	2	3	0	7	0	0	0	6
1010001N08Rik	0	0	0	0	0	0	0	0	0	0
1110002E22Rik	0	0	0	0	0	0	0	0	0	0
1110002J07Rik	0	2	9	0	0	0	4	5	0	0
1110002L01Rik	96	74	61	60	36	95	56	49	34	62
1110002O04Rik	0	0	0	0	0	0	0	0	0	0
1110003F10Rik	11	9	11	9	7	12	4	7	6	13
1110004E09Rik	518	486	487	429	230	405	395	723	379	465
1110004F10Rik	3201	3317	3002	2214	1541	2235	2502	2708	2113	2890
1110006O24Rik	63	48	67	30	20	56	42	48	43	66
1110008E08Rik	0	0	0	0	0	0	0	0	0	0
1110008F13Rik	1032	1035	1027	753	411	803	1109	1481	1124	1044
1110008L16Rik	328	339	233	226	161	180	176	319	194	317
1110008P14Rik	889	721	956	447	228	608	586	586	511	721
1110012L19Rik	351	348	302	246	210	322	334	359	295	328
1110015O18Rik	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	0	0	2	1	0	0	1	0	0	0
1110018N20Rik	0	0	0	0	0	0	0	0	0	0
1110019B22Rik	0	0	0	0	0	0	0	0	0	0
1110019D14Rik	18	15	24	12	17	12	23	42	16	31
1110020A21Rik	23	17	8	8	8	8	7	12	10	17
1110025L11Rik	0	0	0	0	0	0	0	0	0	0
1110025M09Rik	11	10	17	12	1	5	8	12	5	4
1110028F11Rik	3	11	3	0	0	3	10	9	3	10
1110028F18Rik	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	209	298	197	179	67	133	145	169	161	173
1110032F04Rik	13	46	27	2	4	8	13	17	13	22
1110034G24Rik	232	278	300	187	134	317	281	229	216	296
1110035H17Rik	3	5	7	2	1	1	9	3	4	3
1110036E04Rik	0	0	0	0	0	0	0	0	0	0
1110038B12Rik	94	113	168	59	32	47	71	86	50	131
