Gene	L10.D8.Tox.WT5.Tim3n_S10	L12.D8.Tox.KO1.Tim3n_S12	L14.D8.Tox.KO2.Tim3n_S14	L16.D8.Tox.KO3.Tim3n_S1	L18.D8.Tox.KO4.Tim3n_S3	L20.D8.Tox.KO5.Tim3n_S5	L2.D8.Tox.WT1.Tim3n_S2	L4.D8.Tox.WT2.Tim3n_S4	L6.D8.Tox.WT3.Tim3n_S6	L8.D8.Tox.WT4.Tim3n_S8
0610005C13Rik	2	4	6	1	1	4	3	2	1	3
0610006L08Rik	0	0	0	0	0	0	0	0	0	0
0610009B22Rik	347	364	392	259	229	354	262	294	320	364
0610009E02Rik	5	3	1	0	0	2	0	1	1	4
0610009L18Rik	55	61	71	47	48	60	45	53	63	30
0610009O20Rik	177	161	151	156	137	192	130	199	116	120
0610010F05Rik	793	674	1031	457	466	658	531	599	515	679
0610010K14Rik	19	47	40	21	20	41	30	23	32	29
0610012D04Rik	0	0	1	2	2	3	1	0	2	0
0610012G03Rik	835	880	893	842	518	763	623	807	697	800
0610025J13Rik	0	0	0	0	0	0	0	0	0	0
0610030E20Rik	695	807	1041	933	649	1021	711	993	758	947
0610031O16Rik	0	0	0	0	0	0	0	0	0	0
0610033M10Rik	0	0	0	0	0	0	0	0	0	0
0610037L13Rik	735	656	644	694	406	858	565	628	482	711
0610038B21Rik	11	10	9	12	11	27	20	11	7	8
0610039K10Rik	5	2	13	11	5	6	8	11	5	14
0610040B10Rik	50	85	70	21	27	61	27	38	33	41
0610040F04Rik	3	3	12	13	4	9	3	11	6	5
0610040J01Rik	49	45	15	18	29	9	13	29	35	74
0610043K17Rik	2	1	7	5	2	2	2	5	7	5
1010001B22Rik	3	1	1	9	3	1	1	2	2	0
1010001N08Rik	0	0	0	0	0	0	0	0	0	1
1110002E22Rik	0	0	0	0	0	0	0	0	0	0
1110002J07Rik	0	2	0	0	2	8	1	0	5	8
1110002L01Rik	72	77	77	63	48	96	74	75	92	48
1110002O04Rik	0	0	0	0	0	0	0	0	0	0
1110003F10Rik	16	16	4	7	14	4	8	12	4	7
1110004E09Rik	497	514	551	510	449	554	381	535	412	381
1110004F10Rik	2725	2926	3165	2546	2132	2839	2061	2459	1991	2150
1110006O24Rik	49	45	29	73	53	60	33	63	37	32
1110008E08Rik	0	0	0	0	0	0	0	0	0	0
1110008F13Rik	908	904	1018	1048	675	835	843	1207	894	1311
1110008L16Rik	271	288	314	229	213	248	253	327	269	274
1110008P14Rik	641	846	867	616	368	697	492	656	529	448
1110012L19Rik	313	409	349	378	261	386	359	296	284	233
1110015O18Rik	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	2	0	2	0	0	0	0	2	0	1
1110018N20Rik	0	0	0	0	0	0	0	0	0	0
1110019B22Rik	0	0	0	0	0	0	0	0	0	0
1110019D14Rik	49	37	14	12	9	17	13	9	19	14
1110020A21Rik	20	9	22	8	17	17	4	13	15	3
1110025L11Rik	0	0	0	0	0	0	0	0	0	0
1110025M09Rik	9	11	10	8	4	11	4	8	4	2
1110028F11Rik	12	4	7	0	2	3	4	1	6	4
1110028F18Rik	1	0	0	0	0	1	0	0	0	0
1110032A03Rik	176	198	205	198	118	162	180	165	118	234
1110032F04Rik	25	10	22	13	23	14	21	19	24	31
1110034G24Rik	327	277	270	402	171	366	308	332	256	186
1110035H17Rik	8	12	0	11	3	1	2	4	4	1
